4.572	3.55	6.9	3.14	274.32
1.524	28.00	7.1	3.14	228.6
3.048	0.45	0.8	3.14	914.4
3.048	43.28	12.6	3.14	213.36
1.524	5.26	10.9	3.14	259.08
3.81	4.03	3.8	3.14	91.44
2.286	14.10	3.7	3.14	146.304
1.524	29.64	2.4	3.14	76.2
3.81	0.68	2.1	3.14	106.68
5.334	18.27	1.9	3.14	350.52
3.2004	1.806	5	3.14	182.88
1.524	0.123	6.5	3.14	42.672
1.524	12.84	6.5	3.14	109.728
3.81	8.18	8.6	3.14	219.456
1.524	13.8	9	3.14	96.012
3.048	13.118	9.3	3.14	53.34
2.286	84.9	8.2	3.14	128.016
3.81	22.9	8.3	3.14	914.4
4.572	49.3	7.5	3.14	192.024
1.524	90.21	6.8	3.14	60.96
2.286	0.469	11.2	3.14	60.96
2.286	20.95	8.52	3.14	106.68
11	4.246	7.9	3.14	420
3.048	67	3.7	3.14	207.264
1.524	0.0719	8.4	3.14	67.056
4.2672	25.4	5.5	3.14	71.3232
2.1336	1.504	2.4	3.14	396.24
1.0668	5.375	5.5	3.14	457.2
1.0668	3.57	0.00	3.14	57.3024
1.525	5.22	5.7	3.14	152
4.57	9.23	2.8	3.14	366
3.05	2.84	0.6	3.14	168
0.305	5.48	7.4	3.14	107
1.525	48.65	0.42	3.14	85
5.335	18.27	1.9	3.14	229
4.57	3.23	0.1	3.14	198
7.62	6.01	10	3.14	853
1.22	0.96	3.9	3.14	30
1.22	13.8	7.6	3.14	64
8.38	32.56	9.82	3.14	244
4.57	15.6	10.43	3.14	549
3.05	9.23	7.7	3.14	152
1.83	3.13	8	3.14	96
6	0.07	1	3.17	140
6	0.04	1	3.13	90
6	1.3	1	3.17	120
6	2.4	2	3.17	90
6	1.4	2	3.17	60
6	0.7	2	3.17	90
50	0.25	1	3.08	150
50	0.4	1	3.17	100
7.5	0.31	1	3.14	160
1	0.01	7.5	3.14	120
5.5	33	7.5	3.14	250
3.7	123	1.6	3.08	200
3	230	0.6	3.14	500
5	0.01	4	3.08	100
0.675	0.01	0.28	3.08	420
1.15	0.017	3.2	3.08	450
1.875	0.0004	1.29	3.08	140
1.5	8.9	0.99	3.14	250
